freq_mhz,probability,center_channel
18445.81756591797,0.95,57188352
18445.81184387207,0.946,57186304
18321.723556518555,0.909,12773376
18443.385696411133,0.907,56317952
18299.602127075195,0.891,4855808
18388.087844848633,0.875,36526080
18443.39141845703,0.87,56320000
18299.607849121094,0.844,4857856
18454.446411132812,0.83,60276736
18321.729278564453,0.82,12775424
18432.33070373535,0.804,52361216
18432.324981689453,0.79,52359168
18465.507125854492,0.775,64235520
18454.45213317871,0.744,60278784
18436.347579956055,0.738,53798912
18465.51284790039,0.738,64237568
18410.21499633789,0.709,44445696
