freq_mhz,probability,center_channel
6782.71598815918,0.99,7759872
6878.857803344727,0.977,42170368
6878.863525390625,0.967,42172416
6812.665176391602,0.946,18479104
6878.766250610352,0.94,42137600
6878.812026977539,0.936,42153984
6878.806304931641,0.935,42151936
6878.8177490234375,0.935,42156032
6878.789138793945,0.934,42145792
6878.800582885742,0.924,42149888
6851.449203491211,0.921,32360448
6878.794860839844,0.893,42147840
6774.9053955078125,0.889,4964352
6831.16455078125,0.883,25100288
6774.899673461914,0.846,4962304
6878.783416748047,0.832,42143744
6878.754806518555,0.829,42133504
6820.201110839844,0.815,21176320
6878.760528564453,0.811,42135552
6890.513610839844,0.805,46342144
6882.622909545898,0.803,43517952
6812.7166748046875,0.795,18497536
6878.731918334961,0.793,42125312
6878.749084472656,0.79,42131456
6879.544448852539,0.779,42416128
6913.951110839844,0.776,54730752
6878.743362426758,0.773,42129408
6929.806900024414,0.771,60405760
6812.642288208008,0.759,18470912
6882.926177978516,0.751,43626496
6829.905700683594,0.748,24649728
6859.265518188477,0.726,35158016
6867.293548583984,0.723,38031360
6882.931900024414,0.723,43628544
6847.466659545898,0.72,30935040
6867.299270629883,0.717,38033408
6887.498092651367,0.715,45262848
6796.837997436523,0.707,12814336
6901.723098754883,0.705,50354176
6900.201034545898,0.702,49809408
6882.920455932617,0.7,43624448
6887.503814697266,0.7,45264896
