freq_mhz,probability,center_channel
6931.494903564453,1.0,61009920
6861.045074462891,0.985,35794944
6773.314666748047,0.982,4395008
6831.16455078125,0.976,25100288
6773.320388793945,0.972,4397056
6857.9437255859375,0.967,34684928
6919.879150390625,0.964,56852480
6859.786224365234,0.96,35344384
6945.210647583008,0.959,65918976
6860.009384155273,0.957,35424256
6874.8809814453125,0.947,40747008
6851.460647583008,0.943,32364544
6921.767425537109,0.94,57528320
6857.938003540039,0.933,34682880
6859.780502319336,0.93,35342336
6939.494323730469,0.88,63873024
6860.100936889648,0.864,35457024
6774.962615966797,0.828,4984832
6781.148147583008,0.827,7198720
6799.338531494141,0.825,13709312
6812.653732299805,0.823,18475008
6860.09521484375,0.822,35454976
6874.898147583008,0.813,40753152
6880.448532104492,0.81,42739712
6861.680221557617,0.807,36022272
6880.505752563477,0.801,42760192
6859.305572509766,0.77,35172352
6878.800582885742,0.762,42149888
6781.153869628906,0.761,7200768
6776.67350769043,0.757,5597184
6880.49430847168,0.756,42756096
6812.636566162109,0.753,18468864
6879.515838623047,0.749,42405888
6820.212554931641,0.746,21180416
6815.240097045898,0.745,19400704
6878.783416748047,0.739,42143744
6879.50439453125,0.738,42401792
6880.511474609375,0.737,42762240
6923.4954833984375,0.733,58146816
6768.365097045898,0.73,2623488
6774.956893920898,0.729,4982784
6890.587997436523,0.728,46368768
6938.286972045898,0.728,63440896
6859.111022949219,0.727,35102720
6879.527282714844,0.723,42409984
6762.505722045898,0.719,526336
6788.964462280273,0.719,9996288
6773.56071472168,0.717,4483072
6859.048080444336,0.717,35080192
6861.491394042969,0.717,35954688
6867.974472045898,0.714,38275072
6875.121307373047,0.713,40833024
6879.521560668945,0.711,42407936
6921.836090087891,0.71,57552896
6878.794860839844,0.707,42147840
6796.986770629883,0.701,12867584
