freq_mhz,probability,center_channel
18109.123611450195,0.724,8263680
18109.129333496094,0.744,8265728
18118.273162841797,0.935,11538432
18118.278884887695,0.92,11540480
18176.500701904297,0.719,32378880
18187.95051574707,0.71,36476928
18187.95623779297,0.739,36478976
18204.54444885254,0.978,42416128
18204.550170898438,0.984,42418176
18204.744720458984,0.853,42487808
18204.750442504883,0.891,42489856
18210.684204101562,0.749,44613632
18226.305389404297,0.989,50204672
18226.311111450195,0.968,50206720
18231.804275512695,0.943,52172800
18231.809997558594,0.831,52174848
18250.303649902344,0.87,58793984
18273.186111450195,0.7,66983936
