freq_mhz,probability,center_channel
18273.186111450195,0.948,66983936
18165.995025634766,0.939,28618752
18249.91455078125,0.934,58654720
18200.796508789062,0.925,41074688
18257.553482055664,0.912,61388800
18221.853637695312,0.907,48611328
18237.772369384766,0.907,54308864
18136.60659790039,0.902,18100224
18165.989303588867,0.899,28616704
18187.412643432617,0.889,36284416
18273.180389404297,0.889,66981888
18249.742889404297,0.885,58593280
18264.459991455078,0.876,63860736
18273.083114624023,0.874,66947072
18171.780014038086,0.857,30689280
18249.748611450195,0.842,58595328
18200.80223083496,0.839,41076736
18187.4813079834,0.833,36308992
18107.012176513672,0.813,7507968
18099.081420898438,0.805,4669440
18124.74479675293,0.794,13854720
18158.190155029297,0.79,25825280
18124.750518798828,0.783,13856768
18143.324279785156,0.777,20504576
18253.925704956055,0.777,60090368
18249.90882873535,0.773,58652672
18143.330001831055,0.767,20506624
18110.674285888672,0.758,8818688
18259.956741333008,0.757,62248960
18187.561416625977,0.752,36337664
18187.25242614746,0.751,36227072
18099.087142944336,0.745,4671488
18187.246704101562,0.737,36225024
18187.567138671875,0.737,36339712
18165.445709228516,0.736,28422144
18143.318557739258,0.734,20502528
18209.688568115234,0.724,44257280
18131.033325195312,0.719,16105472
18209.682846069336,0.717,44255232
18271.990203857422,0.709,66555904
18234.97428894043,0.706,53307392
