freq_mhz,probability,center_channel
6820.429992675781,1.0,21258240
6913.951110839844,0.987,54730752
6861.394119262695,0.983,35919872
6921.979141235352,0.983,57604096
6804.808807373047,0.98,15667200
6862.504196166992,0.976,36317184
6860.770416259766,0.974,35696640
6860.953521728516,0.974,35762176
6921.98486328125,0.971,57606144
6804.803085327148,0.963,15665152
6851.666641235352,0.959,32438272
6851.67236328125,0.955,32440320
6860.959243774414,0.939,35764224
6937.628936767578,0.937,63205376
6853.314590454102,0.907,33028096
6853.24592590332,0.904,33003520
6852.994155883789,0.893,32913408
6860.764694213867,0.887,35694592
6852.988433837891,0.84,32911360
6860.799026489258,0.84,35706880
6867.304992675781,0.835,38035456
6877.209854125977,0.827,41580544
6882.920455932617,0.822,43624448
6801.678848266602,0.81,14546944
6877.255630493164,0.762,41596928
6812.401962280273,0.745,18384896
6818.169784545898,0.744,20449280
6874.955368041992,0.741,40773632
6780.083847045898,0.739,6817792
6861.016464233398,0.738,35784704
6917.779159545898,0.734,56100864
6809.380722045898,0.732,17303552
6908.990097045898,0.726,52955136
6924.9603271484375,0.726,58671104
6791.802597045898,0.705,11012096
6888.482284545898,0.705,45615104
6838.677597045898,0.704,27789312
6891.411972045898,0.701,46663680
