freq_mhz,probability,center_channel
6880.334091186523,0.993,42698752
6880.517196655273,0.99,42764288
6879.50439453125,0.989,42401792
6879.487228393555,0.985,42395648
6880.385589599609,0.98,42717184
6880.397033691406,0.98,42721280
6880.339813232422,0.976,42700800
6879.647445678711,0.975,42452992
6880.379867553711,0.975,42715136
6925.02326965332,0.975,58693632
6880.3741455078125,0.974,42713088
6880.419921875,0.974,42729472
6925.017547607422,0.974,58691584
6880.391311645508,0.973,42719232
6880.488586425781,0.973,42754048
6878.783416748047,0.969,42143744
6880.522918701172,0.969,42766336
6879.584503173828,0.967,42430464
6880.351257324219,0.965,42704896
6878.77197265625,0.964,42139648
6879.607391357422,0.962,42438656
6879.5501708984375,0.961,42418176
6879.498672485352,0.959,42399744
6879.515838623047,0.959,42405888
6879.561614990234,0.958,42422272
6879.595947265625,0.958,42434560
6880.34553527832,0.958,42702848
6880.425643920898,0.957,42731520
6879.521560668945,0.955,42407936
6828.086090087891,0.95,23998464
6879.492950439453,0.95,42397696
6880.482864379883,0.95,42752000
6828.091812133789,0.948,24000512
6879.601669311523,0.945,42436608
6875.3387451171875,0.94,40910848
6880.368423461914,0.938,42711040
6875.161361694336,0.934,40847360
6924.920272827148,0.922,58656768
6924.925994873047,0.918,58658816
6879.538726806641,0.914,42414080
6867.304992675781,0.908,38035456
6879.544448852539,0.908,42416128
6810.713958740234,0.907,17780736
6810.719680786133,0.904,17782784
6781.148147583008,0.901,7198720
6880.49430847168,0.895,42756096
6890.587997436523,0.892,46368768
6879.555892944336,0.865,42420224
6812.384796142578,0.861,18378752
6773.520660400391,0.852,4468736
6812.052917480469,0.84,18259968
6879.527282714844,0.832,42409984
6890.593719482422,0.831,46370816
6844.628524780273,0.827,29919232
6879.510116577148,0.826,42403840
6844.622802734375,0.824,29917184
6878.766250610352,0.822,42137600
6880.362701416016,0.819,42708992
6776.67350769043,0.812,5597184
6812.648010253906,0.806,18472960
6879.653167724609,0.804,42455040
6878.789138793945,0.801,42145792
6921.773147583008,0.799,57530368
6880.454254150391,0.797,42741760
6878.806304931641,0.789,42151936
6812.630844116211,0.781,18466816
6945.42236328125,0.781,65994752
6859.265518188477,0.764,35158016
6821.099472045898,0.763,21497856
6776.679229736328,0.738,5599232
6773.514938354492,0.736,4466688
6859.397125244141,0.734,35205120
6926.568222045898,0.733,59246592
6785.943222045898,0.732,8914944
6867.31071472168,0.729,38037504
6860.100936889648,0.718,35457024
6891.411972045898,0.709,46663680
6903.130722045898,0.705,50857984
6914.18571472168,0.705,54814720
6828.23486328125,0.704,24051712
