freq_mhz,probability,center_channel
6937.640380859375,0.971,63209472
6937.628936767578,0.947,63205376
6804.808807373047,0.904,15667200
6919.879150390625,0.886,56852480
6774.899673461914,0.883,4962304
6820.201110839844,0.816,21176320
6933.44612121582,0.77,61708288
6890.74821472168,0.766,46426112
6774.951171875,0.754,4980736
6825.059127807617,0.752,22915072
6791.802597045898,0.747,11012096
6898.558807373047,0.747,49221632
6796.837997436523,0.741,12814336
6919.884872436523,0.741,56854528
6774.9053955078125,0.733,4964352
6812.310409545898,0.732,18352128
6891.411972045898,0.73,46663680
6824.029159545898,0.728,22546432
6804.803085327148,0.718,15665152
6781.365585327148,0.711,7276544
6836.051177978516,0.711,26849280
6768.365097045898,0.707,2623488
6859.488677978516,0.701,35237888
