freq_mhz,probability,is_eti,center_channel
4786.395645141602,0.926,True,129024
4786.916351318359,0.931,True,315392
4787.1337890625,0.958,True,393216
4787.305450439453,0.987,True,454656
4787.568664550781,0.952,True,548864
4787.57438659668,0.96,True,550912
4788.667297363281,0.953,True,942080
4788.770294189453,0.959,True,978944
4789.262390136719,0.966,True,1155072
4789.411163330078,0.981,True,1208320
4789.594268798828,0.957,True,1273856
4789.720153808594,0.958,True,1318912
4789.868927001953,0.952,True,1372160
4790.0634765625,0.949,True,1441792
4790.235137939453,1.0,True,1503232
4790.309524536133,0.955,True,1529856
4790.664291381836,0.949,True,1656832
4790.738677978516,0.957,True,1683456
4790.893173217773,0.989,True,1738752
4790.898895263672,0.973,True,1740800
4790.916061401367,0.968,True,1746944
4790.944671630859,0.951,True,1757184
4790.990447998047,0.965,True,1773568
4791.041946411133,0.988,True,1792000
4791.047668457031,0.992,True,1794048
4791.282272338867,0.965,True,1878016
4791.751480102539,0.976,True,2045952
4791.934585571289,0.976,True,2111488
4793.708419799805,0.959,True,2746368
4793.8629150390625,0.963,True,2801664
4794.801330566406,0.953,True,3137536
4794.807052612305,0.996,True,3139584
4794.978713989258,0.982,True,3201024
4795.11604309082,0.985,True,3250176
4795.281982421875,0.931,True,3309568
4795.613861083984,0.97,True,3428352
4795.934295654297,0.966,True,3543040
4795.962905883789,0.938,True,3553280
4796.008682250977,0.903,True,3569664
4796.123123168945,0.964,True,3610624
4796.54655456543,0.979,True,3762176
4796.660995483398,0.948,True,3803136
4796.72966003418,0.915,True,3827712
4798.59504699707,0.901,True,4495360
4798.823928833008,0.953,True,4577280
4799.064254760742,0.933,True,4663296
4800.065612792969,0.9,True,5021696
4800.20866394043,0.9,True,5072896
4800.506210327148,0.975,True,5179392
4800.511932373047,0.947,True,5181440
4800.6378173828125,0.922,True,5226496
4800.717926025391,0.958,True,5255168
4800.723648071289,0.982,True,5257216
4800.746536254883,0.954,True,5265408
4800.958251953125,0.993,True,5341184
4801.021194458008,0.973,True,5363712
4801.416015625,0.983,True,5505024
4801.478958129883,0.989,True,5527552
