freq_mhz,probability,center_channel
18105.77621459961,0.885,7065600
18099.07569885254,0.863,4667392
18124.750518798828,0.791,13856768
18206.610107421875,0.777,43155456
18162.71629333496,0.775,27445248
18211.325073242188,0.76,44843008
18115.051651000977,0.747,10385408
18273.186111450195,0.745,66983936
18126.472854614258,0.744,14473216
18206.5185546875,0.736,43122688
18136.68670654297,0.721,18128896
18215.839767456055,0.715,46458880
18249.748611450195,0.713,58595328
18106.634521484375,0.704,7372800
18169.983291625977,0.704,30046208
