freq_mhz,probability,is_eti,center_channel
6781.148147583008,0.913,True,7198720
6810.713958740234,0.929,True,17780736
6828.086090087891,0.927,True,23998464
6828.091812133789,0.968,True,24000512
6875.161361694336,0.914,True,40847360
6875.3387451171875,0.93,True,40910848
6878.77197265625,0.96,True,42139648
6878.783416748047,0.965,True,42143744
6879.487228393555,0.981,True,42395648
6879.492950439453,0.987,True,42397696
6879.498672485352,0.949,True,42399744
6879.50439453125,0.987,True,42401792
6879.515838623047,0.967,True,42405888
6879.521560668945,0.939,True,42407936
6879.538726806641,0.928,True,42414080
6879.544448852539,0.921,True,42416128
6879.5501708984375,0.983,True,42418176
6879.561614990234,0.957,True,42422272
6879.584503173828,0.975,True,42430464
6879.595947265625,0.965,True,42434560
6879.601669311523,0.941,True,42436608
6879.607391357422,0.966,True,42438656
6879.647445678711,0.979,True,42452992
6880.334091186523,0.989,True,42698752
6880.339813232422,0.982,True,42700800
6880.34553527832,0.946,True,42702848
6880.351257324219,0.97,True,42704896
6880.362701416016,0.972,True,42708992
6880.368423461914,0.978,True,42711040
6880.3741455078125,0.98,True,42713088
6880.379867553711,0.983,True,42715136
6880.385589599609,0.984,True,42717184
6880.391311645508,0.97,True,42719232
6880.397033691406,0.975,True,42721280
6880.419921875,0.972,True,42729472
6880.425643920898,0.948,True,42731520
6880.482864379883,0.961,True,42752000
6880.488586425781,0.972,True,42754048
6880.49430847168,0.962,True,42756096
6880.517196655273,0.983,True,42764288
6880.522918701172,0.97,True,42766336
6924.920272827148,0.924,True,58656768
6924.925994873047,0.925,True,58658816
6925.017547607422,0.974,True,58691584
6925.02326965332,0.98,True,58693632
