freq_mhz,probability,center_channel
6882.931900024414,0.985,43628544
6769.726943969727,0.979,3110912
6862.223815917969,0.975,36216832
6921.836090087891,0.965,57552896
6921.841812133789,0.962,57554944
6820.43571472168,0.957,21260288
6862.21809387207,0.955,36214784
6769.721221923828,0.951,3108864
6852.891159057617,0.943,32876544
6931.494903564453,0.896,61009920
6937.65754699707,0.892,63215616
6878.749084472656,0.886,42131456
6878.731918334961,0.851,42125312
6899.497222900391,0.85,49557504
6878.737640380859,0.83,42127360
6820.206832885742,0.788,21178368
6820.201110839844,0.782,21176320
6878.743362426758,0.767,42129408
6913.951110839844,0.767,54730752
6867.31071472168,0.756,38037504
6937.663269042969,0.752,63217664
6887.503814697266,0.742,45264896
6771.294784545898,0.73,3672064
6880.49430847168,0.73,42756096
6809.380722045898,0.725,17303552
6906.140518188477,0.71,51935232
6875.10986328125,0.709,40828928
6923.638534545898,0.709,58198016
6879.693222045898,0.705,42469376
6885.552597045898,0.705,44566528
6774.899673461914,0.704,4962304
