freq_mhz,probability,center_channel
6880.482864379883,1.0,42752000
6880.488586425781,1.0,42754048
6880.49430847168,1.0,42756096
6880.477142333984,0.998,42749952
6880.368423461914,0.994,42711040
6880.3741455078125,0.99,42713088
6880.419921875,0.982,42729472
6880.379867553711,0.98,42715136
6880.385589599609,0.971,42717184
6880.34553527832,0.97,42702848
6880.362701416016,0.967,42708992
6880.351257324219,0.965,42704896
6880.397033691406,0.964,42721280
6880.540084838867,0.961,42772480
6880.391311645508,0.96,42719232
6880.356979370117,0.956,42706944
6880.425643920898,0.956,42731520
6880.414199829102,0.955,42727424
6880.534362792969,0.949,42770432
6880.431365966797,0.943,42733568
6880.471420288086,0.938,42747904
6880.442810058594,0.923,42737664
6795.493316650391,0.91,12333056
6880.437088012695,0.906,42735616
6880.500030517578,0.899,42758144
6880.522918701172,0.861,42766336
6878.22265625,0.853,41943040
6882.926177978516,0.839,43626496
6884.059143066406,0.839,44032000
6881.135177612305,0.837,42985472
6878.234100341797,0.836,41947136
6901.73454284668,0.832,50358272
6774.899673461914,0.828,4962304
6881.2896728515625,0.826,43040768
6901.728820800781,0.826,50356224
6881.129455566406,0.824,42983424
6881.163787841797,0.824,42995712
6881.04362487793,0.822,42952704
6880.52864074707,0.821,42768384
6881.232452392578,0.82,43020288
6881.1065673828125,0.817,42975232
6881.123733520508,0.817,42981376
6881.272506713867,0.815,43034624
6798.337173461914,0.813,13350912
6881.1981201171875,0.813,43008000
6881.215286254883,0.812,43014144
6878.228378295898,0.81,41945088
6881.22673034668,0.81,43018240
6945.433807373047,0.81,65998848
6881.186676025391,0.809,43003904
6881.100845336914,0.808,42973184
6881.169509887695,0.808,42997760
6884.076309204102,0.808,44038144
6881.203842163086,0.807,43010048
6881.255340576172,0.807,43028480
6881.180953979492,0.806,43001856
6881.249618530273,0.806,43026432
6881.083679199219,0.803,42967040
6885.552597045898,0.803,44566528
6881.209564208984,0.802,43012096
6884.070587158203,0.802,44036096
6881.243896484375,0.801,43024384
6881.26106262207,0.801,43030528
6881.283950805664,0.801,43038720
6812.390518188477,0.799,18380800
6881.07795715332,0.798,42964992
6881.095123291016,0.798,42971136
6881.221008300781,0.798,43016192
6881.238174438477,0.798,43022336
6881.192398071289,0.796,43005952
6881.158065795898,0.795,42993664
6921.990585327148,0.795,57608192
6881.066513061523,0.793,42960896
6881.118011474609,0.789,42979328
6881.089401245117,0.788,42969088
6881.140899658203,0.788,42987520
6812.384796142578,0.787,18378752
6874.903869628906,0.785,40755200
6881.112289428711,0.785,42977280
6881.175231933594,0.785,42999808
6781.35986328125,0.784,7274496
6867.304992675781,0.783,38035456
6881.266784667969,0.78,43032576
6804.803085327148,0.775,15665152
6881.278228759766,0.775,43036672
6881.072235107422,0.763,42962944
6881.15234375,0.754,42991616
6875.350189208984,0.752,40914944
6947.076034545898,0.75,66586624
6891.411972045898,0.745,46663680
6921.98486328125,0.745,57606144
6921.761703491211,0.744,57526272
6906.134796142578,0.742,51933184
6781.2225341796875,0.741,7225344
6923.638534545898,0.74,58198016
6881.146621704102,0.738,42989568
6906.060409545898,0.733,51906560
6887.503814697266,0.73,45264896
6853.337478637695,0.726,33036288
6853.343200683594,0.726,33038336
6775.05989074707,0.723,5019648
6820.424270629883,0.722,21256192
6856.255722045898,0.721,34080768
6781.216812133789,0.717,7223296
6914.849472045898,0.717,55052288
6762.505722045898,0.715,526336
6796.837997436523,0.714,12814336
6917.779159545898,0.71,56100864
