freq_mhz,probability,center_channel
6875.350189208984,0.974,40914944
6875.344467163086,0.973,40912896
6828.000259399414,0.964,23967744
6853.120040893555,0.949,32958464
6890.593719482422,0.931,46370816
6890.587997436523,0.926,46368768
6879.618835449219,0.905,42442752
6913.951110839844,0.857,54730752
6835.828018188477,0.816,26769408
6945.428085327148,0.816,65996800
6921.767425537109,0.812,57528320
6921.761703491211,0.808,57526272
6878.754806518555,0.805,42133504
6890.513610839844,0.794,46342144
6878.760528564453,0.78,42135552
6874.955368041992,0.772,40773632
6799.950790405273,0.767,13928448
6783.013534545898,0.735,7866368
6941.216659545898,0.735,64489472
6879.693222045898,0.732,42469376
6937.663269042969,0.723,63217664
6826.958847045898,0.714,23595008
6898.329925537109,0.713,49139712
6880.437088012695,0.711,42735616
6903.130722045898,0.702,50857984
6898.324203491211,0.7,49137664
