freq_mhz,probability,center_channel
6863.9404296875,0.996,36831232
6879.561614990234,0.981,42422272
6879.510116577148,0.969,42403840
6859.248352050781,0.961,35151872
6879.515838623047,0.935,42405888
6879.676055908203,0.919,42463232
6879.5501708984375,0.916,42418176
6880.459976196289,0.898,42743808
6888.533782958984,0.897,45633536
6879.573059082031,0.894,42426368
6888.539505004883,0.877,45635584
6867.293548583984,0.865,38031360
6879.533004760742,0.861,42412032
6898.558807373047,0.857,49221632
6879.647445678711,0.856,42452992
6880.4656982421875,0.854,42745856
6890.519332885742,0.853,46344192
6879.498672485352,0.851,42399744
6880.454254150391,0.848,42741760
6880.471420288086,0.839,42747904
6879.61311340332,0.835,42440704
6879.670333862305,0.831,42461184
6773.331832885742,0.827,4401152
6879.492950439453,0.827,42397696
6880.477142333984,0.825,42749952
6879.555892944336,0.823,42420224
6879.636001586914,0.822,42448896
6825.059127807617,0.82,22915072
6879.595947265625,0.82,42434560
6874.955368041992,0.816,40773632
6879.584503173828,0.812,42430464
6879.590225219727,0.808,42432512
6879.624557495117,0.807,42444800
6878.783416748047,0.804,42143744
6879.6417236328125,0.796,42450944
6774.899673461914,0.792,4962304
6879.50439453125,0.792,42401792
6879.630279541016,0.791,42446848
6879.567337036133,0.789,42424320
6804.574203491211,0.786,15583232
6879.653167724609,0.786,42455040
6804.808807373047,0.785,15667200
6879.618835449219,0.785,42442752
6913.956832885742,0.785,54732800
6879.601669311523,0.784,42436608
6879.481506347656,0.782,42393600
6765.744400024414,0.776,1685504
6879.658889770508,0.773,42457088
6825.064849853516,0.77,22917120
6859.265518188477,0.77,35158016
6880.522918701172,0.767,42766336
6803.492736816406,0.766,15196160
6878.789138793945,0.765,42145792
6798.337173461914,0.763,13350912
6880.534362792969,0.762,42770432
6878.806304931641,0.759,42151936
6835.822296142578,0.757,26767360
6879.607391357422,0.752,42438656
6878.731918334961,0.75,42125312
6890.513610839844,0.749,46342144
6820.429992675781,0.732,21258240
6798.3428955078125,0.731,13352960
6835.828018188477,0.73,26769408
6878.794860839844,0.73,42147840
6879.57878112793,0.726,42428416
6887.503814697266,0.72,45264896
6878.720474243164,0.715,42121216
6879.487228393555,0.714,42395648
6859.259796142578,0.711,35155968
6880.442810058594,0.711,42737664
6913.951110839844,0.709,54730752
6796.986770629883,0.701,12867584
