freq_mhz,probability,center_channel
6828.017425537109,1.0,23973888
6851.449203491211,1.0,32360448
6906.140518188477,0.999,51935232
6828.011703491211,0.998,23971840
6788.958740234375,0.997,9994240
6788.953018188477,0.996,9992192
6812.092971801758,0.993,18274304
6835.833740234375,0.993,26771456
6913.956832885742,0.993,54732800
6812.396240234375,0.991,18382848
6860.3240966796875,0.991,35536896
6812.390518188477,0.99,18380800
6820.201110839844,0.989,21176320
6835.828018188477,0.988,26769408
6852.868270874023,0.988,32868352
6913.951110839844,0.988,54730752
6820.206832885742,0.986,21178368
6852.862548828125,0.986,32866304
6781.211090087891,0.985,7221248
6851.454925537109,0.985,32362496
6812.098693847656,0.983,18276352
6781.216812133789,0.98,7223296
6860.318374633789,0.975,35534848
6945.42236328125,0.973,65994752
6924.925994873047,0.971,58658816
6859.265518188477,0.969,35158016
6773.326110839844,0.959,4399104
6773.331832885742,0.958,4401152
6921.836090087891,0.949,57552896
6921.841812133789,0.945,57554944
6874.583435058594,0.942,40640512
6934.195709228516,0.941,61976576
6929.572296142578,0.933,60321792
6874.589157104492,0.923,40642560
6937.668991088867,0.921,63219712
6937.674713134766,0.913,63221760
6906.134796142578,0.883,51933184
6921.761703491211,0.852,57526272
6831.158828735352,0.829,25098240
6812.6708984375,0.818,18481152
6899.954986572266,0.803,49721344
6879.527282714844,0.793,42409984
6878.806304931641,0.784,42151936
6880.505752563477,0.784,42760192
6878.789138793945,0.767,42145792
6859.116744995117,0.766,35104768
6859.185409545898,0.759,35129344
6890.513610839844,0.753,46342144
6796.837997436523,0.751,12814336
6878.777694702148,0.747,42141696
6885.552597045898,0.745,44566528
6850.396347045898,0.739,31983616
6899.949264526367,0.736,49719296
6826.958847045898,0.734,23595008
6818.169784545898,0.709,20449280
6768.365097045898,0.708,2623488
6773.503494262695,0.708,4462592
6947.076034545898,0.708,66586624
6862.115097045898,0.704,36177920
6880.442810058594,0.703,42737664
