freq_mhz,probability,center_channel
18249.742889404297,0.932,58593280
18246.521377563477,0.924,57440256
18249.748611450195,0.905,58595328
18187.750244140625,0.89,36405248
18116.459274291992,0.888,10889216
18187.744522094727,0.888,36403200
18118.85108947754,0.871,11745280
18244.85626220703,0.843,56844288
18187.246704101562,0.842,36225024
18112.739944458008,0.827,9558016
18096.191787719727,0.805,3635200
18187.25242614746,0.786,36227072
18118.278884887695,0.783,11540480
18231.59828186035,0.771,52099072
18112.745666503906,0.759,9560064
18118.273162841797,0.755,11538432
18118.564987182617,0.721,11642880
18180.786514282227,0.71,33912832
