freq_mhz,probability,center_channel
18141.48178100586,0.916,19845120
18087.013626098633,0.9,350208
18210.68992614746,0.814,44615680
18210.684204101562,0.81,44613632
18249.91455078125,0.793,58654720
18257.559204101562,0.786,61390848
18115.068817138672,0.782,10391552
18273.180389404297,0.766,66981888
18165.445709228516,0.759,28422144
18143.318557739258,0.732,20502528
18249.748611450195,0.728,58595328
18227.93617248535,0.727,50788352
18165.439987182617,0.724,28420096
18099.087142944336,0.72,4671488
18249.754333496094,0.708,58597376
