freq_mhz,probability,center_channel
18273.186111450195,0.974,66983936
18109.129333496094,0.972,8265728
18257.559204101562,0.951,61390848
18257.56492614746,0.944,61392896
18249.748611450195,0.936,58595328
18249.43962097168,0.926,58484736
18249.754333496094,0.925,58597376
18091.425323486328,0.886,1929216
18210.861587524414,0.883,44677120
18183.178329467773,0.874,34768896
18117.8897857666,0.873,11401216
18249.445343017578,0.849,58486784
18273.191833496094,0.829,66985984
18109.123611450195,0.824,8263680
18145.68748474121,0.818,21350400
18208.395385742188,0.817,43794432
18165.439987182617,0.806,28420096
18222.546005249023,0.806,48859136
18208.38966369629,0.796,43792384
18220.21141052246,0.775,48023552
18149.27520751953,0.774,22634496
18226.311111450195,0.77,50206720
18165.445709228516,0.768,28422144
18187.25242614746,0.753,36227072
18094.183349609375,0.739,2916352
18171.625518798828,0.734,30633984
18194.0673828125,0.731,38666240
18124.750518798828,0.73,13856768
18266.474151611328,0.73,64581632
18210.684204101562,0.723,44613632
18171.61979675293,0.722,30631936
18187.246704101562,0.72,36225024
18210.68992614746,0.72,44615680
18226.374053955078,0.702,50229248
