freq_mhz,probability,center_channel
18288.541412353516,0.86,897024
18302.55470275879,0.834,5912576
18410.209274291992,0.825,44443648
18312.797164916992,0.812,9578496
18454.446411132812,0.807,60276736
18439.208602905273,0.794,54822912
18410.203552246094,0.789,44441600
18288.547134399414,0.787,899072
18402.19268798828,0.781,41574400
18302.33154296875,0.766,5832704
18321.466064453125,0.73,12681216
18310.662841796875,0.725,8814592
18368.672943115234,0.725,29577216
18454.45213317871,0.704,60278784
