freq_mhz,probability,center_channel
18321.723556518555,0.892,12773376
18399.148559570312,0.887,40484864
18321.729278564453,0.852,12775424
18310.662841796875,0.842,8814592
18421.264266967773,0.834,48400384
18288.541412353516,0.796,897024
18421.269989013672,0.769,48402432
18303.773498535156,0.764,6348800
18299.602127075195,0.761,4855808
18432.324981689453,0.761,52359168
18410.209274291992,0.756,44443648
18454.446411132812,0.751,60276736
18454.45213317871,0.748,60278784
18410.203552246094,0.729,44441600
18388.087844848633,0.715,36526080
18288.547134399414,0.711,899072
18443.385696411133,0.705,56317952
18299.607849121094,0.7,4857856
