freq_mhz,probability,center_channel
18336.492156982422,0.882,18059264
18336.49787902832,0.876,18061312
18325.494384765625,0.866,14123008
18354.911422729492,0.859,24651776
18290.64712524414,0.854,1650688
18413.098907470703,0.807,45477888
18310.662841796875,0.805,8814592
18354.905700683594,0.801,24649728
18310.668563842773,0.794,8816640
18364.47296142578,0.774,28073984
18290.641403198242,0.767,1648640
18391.183471679688,0.766,37634048
18321.729278564453,0.759,12775424
18460.803604125977,0.758,62552064
18321.723556518555,0.749,12773376
18430.585479736328,0.739,51736576
18405.831909179688,0.725,42876928
18325.677490234375,0.719,14188544
18332.789993286133,0.719,16734208
18369.68002319336,0.709,29937664
18332.784271240234,0.706,16732160
18334.0145111084,0.706,17172480
18320.49903869629,0.704,12335104
18368.54133605957,0.701,29530112
