freq_mhz,probability,center_channel
6851.466369628906,0.984,32366592
6867.299270629883,0.979,38033408
6812.384796142578,0.972,18378752
6874.583435058594,0.96,40640512
6874.589157104492,0.957,40642560
6854.836654663086,0.953,33572864
6867.293548583984,0.935,38031360
6812.6251220703125,0.926,18464768
6804.79736328125,0.921,15663104
6773.514938354492,0.913,4466688
6854.573440551758,0.91,33478656
6937.6861572265625,0.906,63225856
6860.861968994141,0.895,35729408
6937.680435180664,0.89,63223808
6796.843719482422,0.88,12816384
6860.856246948242,0.869,35727360
6836.056900024414,0.839,26851328
6773.509216308594,0.838,4464640
6945.433807373047,0.803,65998848
6820.212554931641,0.8,21180416
6796.837997436523,0.788,12814336
6945.428085327148,0.783,65996800
6878.749084472656,0.75,42131456
6878.766250610352,0.747,42137600
6789.181900024414,0.745,10074112
6914.174270629883,0.745,54810624
6919.879150390625,0.744,56852480
6881.15234375,0.741,42991616
6879.046630859375,0.739,42237952
6800.591659545898,0.73,14157824
6803.521347045898,0.727,15206400
6878.823471069336,0.727,42158080
6783.013534545898,0.72,7866368
6880.477142333984,0.72,42749952
6878.857803344727,0.717,42170368
6879.040908813477,0.712,42235904
6878.88069152832,0.71,42178560
6880.482864379883,0.704,42752000
6873.833847045898,0.703,40372224
6929.497909545898,0.703,60295168
6878.869247436523,0.702,42174464
6878.674697875977,0.7,42104832
