freq_mhz,probability,center_channel
18299.602127075195,0.932,4855808
18465.507125854492,0.893,64235520
18299.607849121094,0.872,4857856
18399.148559570312,0.869,40484864
18443.39141845703,0.865,56320000
18443.385696411133,0.84,56317952
18388.087844848633,0.83,36526080
18354.911422729492,0.824,24651776
18445.81184387207,0.811,57186304
18465.51284790039,0.809,64237568
18388.09356689453,0.801,36528128
18310.668563842773,0.796,8816640
18377.027130126953,0.791,32567296
18445.81756591797,0.779,57188352
18332.789993286133,0.767,16734208
18354.905700683594,0.759,24649728
18421.269989013672,0.753,48402432
18288.541412353516,0.751,897024
18432.324981689453,0.747,52359168
18310.662841796875,0.741,8814592
18332.784271240234,0.732,16732160
18288.547134399414,0.72,899072
18454.45213317871,0.704,60278784
18454.446411132812,0.7,60276736
