freq_mhz,probability,center_channel
6844.71435546875,0.985,29949952
6812.722396850586,0.973,18499584
6812.710952758789,0.953,18495488
6812.7166748046875,0.939,18497536
6859.276962280273,0.916,35162112
6875.018310546875,0.899,40796160
6852.027130126953,0.895,32567296
6819.4915771484375,0.877,20922368
6867.31071472168,0.85,38037504
6800.019454956055,0.848,13953024
6765.584182739258,0.833,1628160
6844.720077514648,0.822,29952000
6828.086090087891,0.818,23998464
6875.024032592773,0.818,40798208
6867.304992675781,0.792,38035456
6828.091812133789,0.791,24000512
6774.899673461914,0.785,4962304
6771.294784545898,0.775,3672064
6900.069427490234,0.773,49762304
6765.589904785156,0.764,1630208
6800.025177001953,0.758,13955072
6765.738677978516,0.755,1683456
6880.454254150391,0.752,42741760
6773.554992675781,0.735,4481024
6774.9053955078125,0.735,4964352
6775.082778930664,0.731,5027840
6897.271347045898,0.73,48760832
6862.115097045898,0.723,36177920
6774.224472045898,0.718,4720640
6914.849472045898,0.717,55052288
6923.4954833984375,0.71,58146816
6887.503814697266,0.709,45264896
6903.130722045898,0.704,50857984
