freq_mhz,probability,center_channel
6945.42236328125,1.0,65994752
6945.428085327148,0.995,65996800
6843.856048583984,0.984,29642752
6843.861770629883,0.965,29644800
6826.707077026367,0.955,23504896
6774.899673461914,0.942,4962304
6880.562973022461,0.931,42780672
6880.545806884766,0.926,42774528
6901.73454284668,0.926,50358272
6901.728820800781,0.913,50356224
6929.578018188477,0.903,60323840
6929.572296142578,0.896,60321792
6799.950790405273,0.895,13928448
6937.651824951172,0.892,63213568
6826.712799072266,0.886,23506944
6812.648010253906,0.875,18472960
6919.884872436523,0.864,56854528
6875.161361694336,0.859,40847360
6825.053405761719,0.856,22913024
6825.059127807617,0.85,22915072
6880.448532104492,0.835,42739712
6929.8126220703125,0.834,60407808
6937.628936767578,0.834,63205376
6820.201110839844,0.832,21176320
6812.659454345703,0.824,18477056
6890.513610839844,0.804,46342144
6880.442810058594,0.793,42737664
6799.945068359375,0.792,13926400
6774.951171875,0.791,4980736
6878.760528564453,0.79,42135552
6879.515838623047,0.787,42405888
6780.083847045898,0.784,6817792
6879.50439453125,0.78,42401792
6879.487228393555,0.77,42395648
6929.806900024414,0.759,60405760
6878.737640380859,0.758,42127360
6880.419921875,0.757,42729472
6880.425643920898,0.757,42731520
6879.481506347656,0.756,42393600
6880.431365966797,0.756,42733568
6856.255722045898,0.753,34080768
6789.181900024414,0.748,10074112
6878.766250610352,0.747,42137600
6774.9053955078125,0.746,4964352
6880.437088012695,0.744,42735616
6875.167083740234,0.733,40849408
6879.510116577148,0.726,42403840
6874.892425537109,0.718,40751104
6890.507888793945,0.717,46340096
6917.779159545898,0.716,56100864
6885.552597045898,0.713,44566528
6887.503814697266,0.709,45264896
6853.326034545898,0.707,33032192
6921.750259399414,0.707,57522176
6923.4954833984375,0.702,58146816
6862.115097045898,0.701,36177920
