freq_mhz,probability,center_channel
18210.684204101562,0.921,44613632
18160.59341430664,0.874,26685440
18169.926071166992,0.825,30025728
18257.56492614746,0.817,61392896
18163.809204101562,0.809,27836416
18257.559204101562,0.806,61390848
18099.081420898438,0.804,4669440
18139.770889282227,0.801,19232768
18202.879333496094,0.776,41820160
18210.68992614746,0.773,44615680
18171.625518798828,0.77,30633984
18226.311111450195,0.767,50206720
18268.019104003906,0.766,65134592
18099.087142944336,0.735,4671488
18190.428161621094,0.726,37363712
18273.180389404297,0.714,66981888
18109.123611450195,0.712,8263680
18171.61979675293,0.709,30631936
