freq_mhz,probability,center_channel
18171.625518798828,0.991,30633984
18226.311111450195,0.958,50206720
18171.631240844727,0.935,30636032
18263.922119140625,0.908,63668224
18257.559204101562,0.891,61390848
18273.186111450195,0.891,66983936
18273.191833496094,0.876,66985984
18257.56492614746,0.871,61392896
18263.927841186523,0.869,63670272
18200.579071044922,0.854,40996864
18202.873611450195,0.849,41818112
18202.879333496094,0.831,41820160
18249.748611450195,0.831,58595328
18197.91259765625,0.791,40042496
18118.273162841797,0.788,11538432
18249.91455078125,0.788,58654720
18210.684204101562,0.777,44613632
18118.278884887695,0.771,11540480
18124.756240844727,0.769,13858816
18124.750518798828,0.764,13856768
18121.202850341797,0.76,12587008
18187.412643432617,0.759,36284416
18248.581314086914,0.754,58177536
18210.68992614746,0.749,44615680
18249.90882873535,0.747,58652672
18158.974075317383,0.746,26105856
18143.318557739258,0.736,20502528
18226.316833496094,0.73,50208768
18121.208572387695,0.726,12589056
18124.916458129883,0.72,13916160
18271.440887451172,0.702,66359296
