source,n_files,n_cadences,f_min_mhz,f_max_mhz,bandwidth_mhz
TIC459837008_ON @ 18286-18474 MHz,6,1,18286.035156,18473.535156,187.500000
TIC459903429_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC470159478_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC470852531_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC53875855_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC82452140_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC85242435_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
TIC9348006_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC9392421_ON @ 6761-6949 MHz,6,1,6761.035156,6948.535156,187.500000
TIC96291218_ON @ 18086-18274 MHz,6,1,18086.035156,18273.535156,187.500000
