freq_mhz,probability,center_channel
18448.649978637695,0.94,58202112
18462.817764282227,0.918,63272960
18427.054977416992,0.892,50472960
18302.091217041016,0.887,5746688
18288.724517822266,0.86,962560
18296.79832458496,0.86,3852288
18315.463638305664,0.86,10532864
18315.469360351562,0.849,10534912
18390.639877319336,0.844,37439488
18463.6531829834,0.836,63571968
18382.926559448242,0.834,34678784
18405.871963500977,0.804,42891264
18328.1551361084,0.785,15075328
18373.250579833984,0.781,31215616
18399.148559570312,0.775,40484864
18288.541412353516,0.77,897024
18333.945846557617,0.755,17147904
18330.810165405273,0.744,16025600
18309.003448486328,0.739,8220672
18432.324981689453,0.737,52359168
18306.57730102539,0.704,7352320
18445.81184387207,0.704,57186304
