freq_mhz,probability,is_eti,center_channel
4786.046600341797,0.916,True,4096
4786.052322387695,0.966,True,6144
4786.155319213867,0.94,True,43008
4786.229705810547,0.985,True,69632
4786.979293823242,0.962,True,337920
4786.985015869141,0.908,True,339968
4787.339782714844,0.968,True,466944
4787.345504760742,0.967,True,468992
4789.2852783203125,0.935,True,1163264
4789.599990844727,0.963,True,1275904
4789.605712890625,0.99,True,1277952
4789.708709716797,0.909,True,1314816
4789.714431762695,0.956,True,1316864
4790.177917480469,0.947,True,1482752
4790.24658203125,0.916,True,1507328
4790.624237060547,0.995,True,1642496
4790.704345703125,0.988,True,1671168
4790.767288208008,0.957,True,1693696
4792.054748535156,0.921,True,2154496
4793.960189819336,0.973,True,2836480
4793.965911865234,0.941,True,2838528
4794.091796875,0.957,True,2883584
4794.097518920898,0.915,True,2885632
4794.34928894043,0.957,True,2975744
4794.520950317383,0.927,True,3037184
4794.721221923828,0.944,True,3108864
4794.858551025391,0.994,True,3158016
4795.138931274414,0.916,True,3258368
4795.310592651367,0.922,True,3319808
4795.436477661133,0.951,True,3364864
4795.533752441406,0.977,True,3399680
4795.745468139648,0.964,True,3475456
4796.58088684082,0.976,True,3774464
4796.620941162109,0.924,True,3788800
4796.895599365234,0.994,True,3887104
4797.170257568359,0.901,True,3985408
4797.301864624023,0.994,True,4032512
4797.307586669922,0.967,True,4034560
4797.685241699219,0.967,True,4169728
4797.874069213867,0.964,True,4237312
4798.022842407227,0.917,True,4290560
4798.234558105469,0.991,True,4366336
4798.240280151367,0.999,True,4368384
4798.589324951172,0.91,True,4493312
4798.617935180664,0.93,True,4503552
4799.550628662109,0.983,True,4837376
4799.556350708008,0.914,True,4839424
4799.831008911133,0.9,True,4937728
4800.345993041992,0.945,True,5122048
4800.9124755859375,0.964,True,5324800
4801.021194458008,0.928,True,5363712
4801.23291015625,0.996,True,5439488
4801.450347900391,0.944,True,5517312
4801.473236083984,0.949,True,5525504
4801.650619506836,0.916,True,5588992
4801.9195556640625,0.959,True,5685248
4801.925277709961,0.911,True,5687296
4801.959609985352,0.949,True,5699584
4802.028274536133,0.94,True,5724160
4802.451705932617,0.927,True,5875712
4802.600479125977,0.964,True,5928960
4802.812194824219,0.97,True,6004736
4802.817916870117,0.952,True,6006784
4802.8350830078125,0.957,True,6012928
4802.840805053711,0.949,True,6014976
4802.920913696289,0.906,True,6043648
4802.949523925781,0.942,True,6053888
4803.081130981445,0.937,True,6100992
4803.1097412109375,0.939,True,6111232
4803.224182128906,0.917,True,6152192
4803.395843505859,0.901,True,6213632
4803.401565551758,0.946,True,6215680
4803.756332397461,0.937,True,6342656
4803.779220581055,0.999,True,6350848
4803.859329223633,0.913,True,6379520
4804.402923583984,0.992,True,6574080
4804.505920410156,0.961,True,6610944
4804.511642456055,0.98,True,6612992
4804.832077026367,0.956,True,6727680
4804.837799072266,0.96,True,6729728
4805.730438232422,0.968,True,7049216
4806.10237121582,0.906,True,7182336
4806.108093261719,0.993,True,7184384
4806.262588500977,0.939,True,7239680
4806.422805786133,0.963,True,7297024
4807.263946533203,0.986,True,7598080
4807.429885864258,0.969,True,7657472
4807.5958251953125,0.995,True,7716864
4807.847595214844,0.942,True,7806976
4808.122253417969,0.969,True,7905280
4808.3282470703125,0.949,True,7979008
4808.499908447266,0.948,True,8040448
4808.505630493164,0.991,True,8042496
4812.505340576172,0.98,True,9474048
4812.888717651367,0.984,True,9611264
4813.357925415039,0.944,True,9779200
4813.598251342773,0.907,True,9865216
4813.924407958984,0.968,True,9981952
4813.964462280273,0.994,True,9996288
4814.015960693359,0.947,True,10014720
4814.433670043945,0.951,True,10164224
4814.473724365234,0.908,True,10178560
4814.49089050293,0.995,True,10184704
