freq_mhz,probability,center_channel
6878.045272827148,0.997,41879552
6828.017425537109,0.97,23973888
6929.578018188477,0.97,60323840
6880.562973022461,0.953,42780672
6880.52864074707,0.948,42768384
6870.131683349609,0.937,39047168
6870.125961303711,0.926,39045120
6774.9053955078125,0.919,4964352
6880.5572509765625,0.908,42778624
6924.925994873047,0.895,58658816
6880.568695068359,0.892,42782720
6803.492736816406,0.884,15196160
6812.630844116211,0.884,18466816
6913.951110839844,0.867,54730752
6849.944305419922,0.866,31821824
6812.665176391602,0.862,18479104
6874.955368041992,0.834,40773632
6859.265518188477,0.813,35158016
6803.498458862305,0.806,15198208
6880.488586425781,0.804,42754048
6820.429992675781,0.801,21258240
6859.185409545898,0.793,35129344
6924.920272827148,0.787,58656768
6880.431365966797,0.786,42733568
6919.884872436523,0.782,56854528
6774.899673461914,0.779,4962304
6788.872909545898,0.775,9963520
6880.437088012695,0.769,42735616
6880.448532104492,0.769,42739712
6812.390518188477,0.766,18380800
6859.259796142578,0.762,35155968
6880.49430847168,0.753,42756096
6922.002029418945,0.751,57612288
6865.044784545898,0.749,37226496
6879.899215698242,0.743,42543104
6829.905700683594,0.736,24649728
6875.161361694336,0.736,40847360
6809.380722045898,0.729,17303552
6867.31071472168,0.729,38037504
6825.041961669922,0.721,22908928
6882.926177978516,0.719,43626496
6870.904159545898,0.718,39323648
6882.622909545898,0.718,43517952
6775.031280517578,0.715,5009408
6914.174270629883,0.715,54810624
6880.540084838867,0.712,42772480
6887.498092651367,0.712,45262848
6820.43571472168,0.711,21260288
6828.011703491211,0.71,23971840
6878.743362426758,0.709,42129408
6891.411972045898,0.704,46663680
6880.442810058594,0.703,42737664
6937.640380859375,0.701,63209472
