freq_mhz,probability,center_channel
18086.452865600586,0.747,149504
18109.123611450195,0.989,8263680
18109.129333496094,0.965,8265728
18112.739944458008,0.911,9558016
18112.745666503906,0.834,9560064
18133.24203491211,0.876,16896000
18133.247756958008,0.79,16898048
18151.47247314453,0.95,23420928
18163.59748840332,0.734,27760640
18163.60321044922,0.771,27762688
18167.36831665039,0.92,29110272
18171.61979675293,0.738,30631936
18171.625518798828,0.775,30633984
18186.943435668945,0.95,36116480
18186.949157714844,0.982,36118528
18187.744522094727,0.86,36403200
18187.750244140625,0.928,36405248
18210.684204101562,0.722,44613632
18210.68992614746,0.739,44615680
18226.316833496094,0.768,50208768
18249.43962097168,0.966,58484736
18249.445343017578,0.954,58486784
18249.90882873535,0.892,58652672
18250.297927856445,0.864,58791936
18250.303649902344,0.867,58793984
18257.559204101562,0.846,61390848
18257.56492614746,0.841,61392896
