freq_mhz,probability,center_channel
18273.186111450195,0.926,66983936
18179.264450073242,0.909,33368064
18273.180389404297,0.879,66981888
18249.742889404297,0.847,58593280
18249.748611450195,0.801,58595328
18187.246704101562,0.791,36225024
18187.25242614746,0.788,36227072
18087.20245361328,0.75,417792
18171.625518798828,0.734,30633984
18210.68992614746,0.734,44615680
18209.682846069336,0.728,44255232
18242.55599975586,0.723,56020992
18247.64862060547,0.722,57843712
18209.688568115234,0.715,44257280
18165.445709228516,0.714,28422144
18257.559204101562,0.705,61390848
18150.642776489258,0.702,23123968
