freq_mhz,probability,center_channel
18288.541412353516,0.954,897024
18288.547134399414,0.9,899072
18313.46664428711,0.897,9818112
18421.264266967773,0.881,48400384
18421.269989013672,0.864,48402432
18310.662841796875,0.856,8814592
18310.668563842773,0.855,8816640
18399.142837524414,0.854,40482816
18454.45213317871,0.849,60278784
18390.233612060547,0.822,37294080
18445.81184387207,0.807,57186304
18338.21449279785,0.79,18675712
18399.148559570312,0.79,40484864
18404.853439331055,0.785,42526720
18447.814559936523,0.768,57903104
18399.15428161621,0.764,40486912
18432.324981689453,0.763,52359168
18410.203552246094,0.759,44441600
18410.209274291992,0.745,44443648
18445.81756591797,0.742,57188352
18404.155349731445,0.737,42276864
18461.392974853516,0.72,62763008
18400.201416015625,0.712,40861696
18443.385696411133,0.712,56317952
18382.53173828125,0.71,34537472
18447.808837890625,0.708,57901056
18454.446411132812,0.707,60276736
18369.914627075195,0.705,30021632
18425.206756591797,0.7,49811456
