freq_mhz,probability,center_channel
6921.841812133789,0.993,57554944
6921.836090087891,0.992,57552896
6874.583435058594,0.974,40640512
6874.589157104492,0.967,40642560
6853.846740722656,0.954,33218560
6937.651824951172,0.944,63213568
6812.396240234375,0.943,18382848
6843.712997436523,0.929,29591552
6843.718719482422,0.902,29593600
6923.4954833984375,0.899,58146816
6945.428085327148,0.896,65996800
6867.304992675781,0.882,38035456
6824.93896484375,0.881,22872064
6824.944686889648,0.874,22874112
6781.211090087891,0.867,7221248
6812.710952758789,0.866,18495488
6853.852462768555,0.836,33220608
6773.326110839844,0.818,4399104
6937.65754699707,0.818,63215616
6859.849166870117,0.786,35366912
6773.331832885742,0.785,4401152
6781.216812133789,0.779,7223296
6906.209182739258,0.767,51959808
6859.843444824219,0.766,35364864
6906.140518188477,0.752,51935232
6820.201110839844,0.734,21176320
6906.134796142578,0.729,51933184
6788.872909545898,0.727,9963520
6812.7166748046875,0.721,18497536
6800.591659545898,0.711,14157824
6929.578018188477,0.71,60323840
6931.494903564453,0.709,61009920
6890.513610839844,0.702,46342144
