freq_mhz,probability,center_channel
18144.245529174805,0.883,20834304
18144.239807128906,0.878,20832256
18124.315643310547,0.839,13701120
18139.42756652832,0.836,19109888
18099.081420898438,0.808,4669440
18165.439987182617,0.806,28420096
18154.384994506836,0.8,24463360
18273.191833496094,0.799,66985984
18124.321365356445,0.747,13703168
18165.445709228516,0.744,28422144
18099.087142944336,0.727,4671488
18217.493438720703,0.724,47050752
18273.186111450195,0.72,66983936
18249.754333496094,0.709,58597376
18249.748611450195,0.707,58595328
18231.804275512695,0.706,52172800
