freq_mhz,probability,center_channel
6853.217315673828,0.967,32993280
6853.21159362793,0.966,32991232
6878.754806518555,0.946,42133504
6782.721710205078,0.94,7761920
6899.491500854492,0.938,49555456
6820.206832885742,0.852,21178368
6853.240203857422,0.837,33001472
6774.9053955078125,0.835,4964352
6924.925994873047,0.827,58658816
6878.680419921875,0.813,42106880
6878.617477416992,0.812,42084352
6924.920272827148,0.81,58656768
6873.833847045898,0.796,40372224
6765.738677978516,0.792,1683456
6774.899673461914,0.789,4962304
6812.310409545898,0.769,18352128
6862.115097045898,0.751,36177920
6774.865341186523,0.749,4950016
6859.185409545898,0.748,35129344
6878.783416748047,0.74,42143744
6829.888534545898,0.739,24643584
6923.638534545898,0.737,58198016
6862.446975708008,0.736,36296704
6862.441253662109,0.726,36294656
6820.201110839844,0.72,21176320
6853.24592590332,0.717,33003520
6853.079986572266,0.713,32944128
6853.326034545898,0.713,33032192
6809.380722045898,0.712,17303552
6797.661972045898,0.708,13109248
6941.216659545898,0.704,64489472
6844.536972045898,0.703,29886464
