freq_mhz,probability,center_channel
6782.71598815918,0.997,7759872
6843.861770629883,0.989,29644800
6843.856048583984,0.988,29642752
6812.642288208008,0.972,18470912
6851.683807373047,0.972,32444416
6880.442810058594,0.954,42737664
6859.248352050781,0.933,35151872
6880.437088012695,0.924,42735616
6774.899673461914,0.919,4962304
6812.653732299805,0.913,18475008
6878.760528564453,0.913,42135552
6880.454254150391,0.898,42741760
6945.42236328125,0.892,65994752
6880.459976196289,0.882,42743808
6878.766250610352,0.876,42137600
6812.636566162109,0.859,18468864
6906.140518188477,0.856,51935232
6929.572296142578,0.844,60321792
6804.791641235352,0.842,15661056
6878.777694702148,0.842,42141696
6945.428085327148,0.831,65996800
6878.77197265625,0.83,42139648
6878.783416748047,0.823,42143744
6878.800582885742,0.809,42149888
6880.488586425781,0.799,42754048
6929.806900024414,0.789,60405760
6775.031280517578,0.787,5009408
6820.201110839844,0.785,21176320
6875.161361694336,0.77,40847360
6874.594879150391,0.75,40644608
6919.884872436523,0.748,56854528
6774.224472045898,0.745,4720640
6919.879150390625,0.737,56852480
6777.154159545898,0.735,5769216
6875.149917602539,0.734,40843264
6906.220626831055,0.729,51963904
6774.951171875,0.725,4980736
6874.909591674805,0.725,40757248
6875.1556396484375,0.721,40845312
6820.424270629883,0.717,21256192
6880.448532104492,0.717,42739712
6894.341659545898,0.714,47712256
6880.471420288086,0.705,42747904
6917.779159545898,0.705,56100864
6920.708847045898,0.705,57149440
6835.828018188477,0.704,26769408
6821.099472045898,0.702,21497856
6780.083847045898,0.701,6817792
6824.029159545898,0.701,22546432
