target,n_snippets,n_detections,top_freq_mhz,top_probability,status
TIC148782377,32764,10,18250.297927856445,0.938,success
TIC53875855,32764,13,18171.625518798828,0.999,success
TIC103633434,32764,7,18186.943435668945,0.996,success
TIC85242435,32764,6,18112.739944458008,0.954,success
TIC149577217,32764,11,18221.887969970703,0.922,success
TIC27677846,32764,8,18171.625518798828,0.906,success
TIC147576037,32764,70,18191.28646850586,0.985,success
TIC96291218,32764,9,18171.625518798828,0.953,success
TIC142387023,32764,27,18109.123611450195,0.989,success
TIC186812530,32764,20,18142.35725402832,0.946,success
TIC310981412,32764,10,18187.95623779297,1.0,success
TIC138588540,32764,9,18187.744522094727,0.99,success
TIC158075010,32764,18,18226.305389404297,0.989,success
TIC176860064,32764,12,18250.28076171875,0.855,success
TIC422923265,32764,13,18187.744522094727,0.937,success
TIC15863518,0,0,,,error: all input arrays must have the same shape
TIC378355116,32764,2,18354.911422729492,0.846,success
TIC367607434,32764,6,18310.662841796875,0.811,success
TIC366074069,32764,2,18354.905700683594,0.85,success
TIC345143460,0,0,,,error: all input arrays must have the same shape
TIC27491137,32764,4,18354.911422729492,0.761,success
TIC317507345,0,0,,,error: all input arrays must have the same shape
TIC174041208,0,0,,,error: all input arrays must have the same shape
TIC333473672,32764,0,,,success
TIC378291076,32764,2,18354.911422729492,0.876,success
TIC264678534,32764,0,,,success
TIC176899385,32764,0,,,success
TIC176860064,32764,0,,,success
TIC275111900,32764,1,18399.148559570312,0.721,success
TIC174302697,32764,0,,,success
TIC154867950,32764,0,,,success
TIC154872375,32764,2,18332.784271240234,0.858,success
TIC160162987,0,0,,,error: all input arrays must have the same shape
TIC328933398,32764,0,,,success
TIC417705690,32764,6,18465.51284790039,0.776,success
TIC427730490,32764,0,,,success
TIC154716798,32764,1,18465.507125854492,0.7,success
TIC428679607,0,0,,,error: all input arrays must have the same shape
TIC264678534,0,0,,,error: all input arrays must have the same shape
TIC154927364,0,0,,,error: all input arrays must have the same shape
TIC459837008,32764,3,18432.324981689453,0.725,success
TIC428787891,0,0,,,error: all input arrays must have the same shape
TIC288391628,32764,1,18416.4119720459,0.726,success
TIC156199502,32764,2,18432.33070373535,0.783,success
